NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG (2025),PEMINAT (2024),JENIS PORTOFOLIO,RASIO KEKETATAN,PRESENTASE (%)
UNIVERSITAS SYIAH KUALA,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,72,350,Tidak Ada,0.2057142857142857,20.57142857142857
UNIVERSITAS SYIAH KUALA,11111002,TEKNIK SIPIL,Sarjana,84,525,Tidak Ada,0.16,16.0
UNIVERSITAS SYIAH KUALA,11111003,TEKNIK MESIN,Sarjana,36,259,Tidak Ada,0.138996138996139,13.8996138996139
UNIVERSITAS SYIAH KUALA,11111004,TEKNIK KIMIA,Sarjana,54,207,Tidak Ada,0.2608695652173913,26.08695652173913
UNIVERSITAS SYIAH KUALA,11111005,ARSITEKTUR,Sarjana,48,272,Tidak Ada,0.17647058823529413,17.647058823529413
UNIVERSITAS SYIAH KUALA,11111006,TEKNIK ELEKTRO,Sarjana,48,217,Tidak Ada,0.22119815668202766,22.119815668202765
UNIVERSITAS SYIAH KUALA,11111007,AGROTEKNOLOGI,Sarjana,36,181,Tidak Ada,0.19889502762430938,19.88950276243094
UNIVERSITAS SYIAH KUALA,11111008,AGRIBISNIS,Sarjana,48,309,Tidak Ada,0.1553398058252427,15.53398058252427
UNIVERSITAS SYIAH KUALA,11111009,PETERNAKAN,Sarjana,39,111,Tidak Ada,0.35135135135135137,35.13513513513514
UNIVERSITAS SYIAH KUALA,11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,125,Tidak Ada,0.384,38.4
UNIVERSITAS SYIAH KUALA,11111011,TEKNIK PERTANIAN,Sarjana,48,187,Tidak Ada,0.25668449197860965,25.668449197860966
UNIVERSITAS SYIAH KUALA,11111012,PENDIDIKAN BIOLOGI,Sarjana,36,227,Tidak Ada,0.15859030837004406,15.859030837004406
UNIVERSITAS SYIAH KUALA,11111013,PENDIDIKAN MATEMATIKA,Sarjana,36,279,Tidak Ada,0.12903225806451613,12.903225806451612
UNIVERSITAS SYIAH KUALA,11111014,PENDIDIKAN FISIKA,Sarjana,36,103,Tidak Ada,0.34951456310679613,34.95145631067961
UNIVERSITAS SYIAH KUALA,11111015,PENDIDIKAN KIMIA,Sarjana,36,103,Tidak Ada,0.34951456310679613,34.95145631067961
UNIVERSITAS SYIAH KUALA,11111016,PENDIDIKAN DOKTER,Sarjana,75,1182,Tidak Ada,0.06345177664974619,6.345177664974619
UNIVERSITAS SYIAH KUALA,11111017,ILMU KEPERAWATAN,Sarjana,108,1279,Tidak Ada,0.08444096950742767,8.444096950742768
UNIVERSITAS SYIAH KUALA,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,30,685,Tidak Ada,0.043795620437956206,4.37956204379562
UNIVERSITAS SYIAH KUALA,11111019,MATEMATIKA,Sarjana,24,90,Tidak Ada,0.26666666666666666,26.666666666666668
UNIVERSITAS SYIAH KUALA,11111020,FISIKA,Sarjana,24,38,Tidak Ada,0.631578947368421,63.1578947368421
UNIVERSITAS SYIAH KUALA,11111021,KIMIA,Sarjana,24,80,Tidak Ada,0.3,30.0
UNIVERSITAS SYIAH KUALA,11111022,BIOLOGI,Sarjana,36,126,Tidak Ada,0.2857142857142857,28.57142857142857
UNIVERSITAS SYIAH KUALA,11111023,ILMU KELAUTAN,Sarjana,48,123,Tidak Ada,0.3902439024390244,39.02439024390244
UNIVERSITAS SYIAH KUALA,11111024,BUDIDAYA PERAIRAN,Sarjana,48,68,Tidak Ada,0.7058823529411765,70.58823529411765
UNIVERSITAS SYIAH KUALA,11111025,TEKNIK INDUSTRI,Sarjana,36,395,Tidak Ada,0.09113924050632911,9.113924050632912
UNIVERSITAS SYIAH KUALA,11111026,INFORMATIKA,Sarjana,36,992,Tidak Ada,0.036290322580645164,3.6290322580645165
UNIVERSITAS SYIAH KUALA,11111027,FARMASI,Sarjana,24,1441,Tidak Ada,0.016655100624566273,1.6655100624566272
UNIVERSITAS SYIAH KUALA,11111028,TEKNIK GEOFISIKA,Sarjana,24,83,Tidak Ada,0.2891566265060241,28.915662650602407
UNIVERSITAS SYIAH KUALA,11111029,TEKNIK PERTAMBANGAN,Sarjana,36,605,Tidak Ada,0.05950413223140496,5.950413223140496
UNIVERSITAS SYIAH KUALA,11111030,STATISTIKA,Sarjana,36,253,Tidak Ada,0.1422924901185771,14.229249011857709
UNIVERSITAS SYIAH KUALA,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,36,56,Tidak Ada,0.6428571428571429,64.28571428571429
UNIVERSITAS SYIAH KUALA,11111032,ILMU TANAH,Sarjana,36,64,Tidak Ada,0.5625,56.25
UNIVERSITAS SYIAH KUALA,11111033,TEKNIK GEOLOGI,Sarjana,24,126,Tidak Ada,0.19047619047619047,19.047619047619047
UNIVERSITAS SYIAH KUALA,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,12,20,Tidak Ada,0.6,60.0
UNIVERSITAS SYIAH KUALA,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,12,10,Tidak Ada,1.2,120.0
UNIVERSITAS SYIAH KUALA,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,18,15,Tidak Ada,1.2,120.0
UNIVERSITAS SYIAH KUALA,11111037,PROTEKSI TANAMAN,Sarjana,24,49,Tidak Ada,0.4897959183673469,48.97959183673469
UNIVERSITAS SYIAH KUALA,11111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,36,250,Tidak Ada,0.144,14.399999999999999
UNIVERSITAS SYIAH KUALA,11111039,KEHUTANAN,Sarjana,36,113,Tidak Ada,0.3185840707964602,31.858407079646017
UNIVERSITAS SYIAH KUALA,11111040,TEKNIK KOMPUTER,Sarjana,48,773,Tidak Ada,0.062095730918499355,6.2095730918499354
UNIVERSITAS SYIAH KUALA,11111041,EKONOMI PEMBANGUNAN,Sarjana,48,260,Tidak Ada,0.18461538461538463,18.461538461538463
UNIVERSITAS SYIAH KUALA,11111042,MANAJEMEN,Sarjana,60,1058,Tidak Ada,0.05671077504725898,5.671077504725898
UNIVERSITAS SYIAH KUALA,11111043,AKUNTANSI,Sarjana,60,705,Tidak Ada,0.0851063829787234,8.51063829787234
UNIVERSITAS SYIAH KUALA,11111044,ILMU HUKUM,Sarjana,168,953,Tidak Ada,0.17628541448058763,17.628541448058762
UNIVERSITAS SYIAH KUALA,11111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,42,372,Tidak Ada,0.11290322580645161,11.29032258064516
UNIVERSITAS SYIAH KUALA,11111046,PENDIDIKAN SEJARAH,Sarjana,36,270,Tidak Ada,0.13333333333333333,13.333333333333334
UNIVERSITAS SYIAH KUALA,11111047,PENDIDIKAN EKONOMI,Sarjana,48,141,Tidak Ada,0.3404255319148936,34.04255319148936
UNIVERSITAS SYIAH KUALA,11111048,PENDIDIKAN GEOGRAFI,Sarjana,48,200,Tidak Ada,0.24,24.0
UNIVERSITAS SYIAH KUALA,11111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,409,Tidak Ada,0.11735941320293398,11.7359413202934
UNIVERSITAS SYIAH KUALA,11111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,48,377,Tidak Ada,0.1273209549071618,12.73209549071618
UNIVERSITAS SYIAH KUALA,11111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,36,136,Sendratasik,0.2647058823529412,26.47058823529412
UNIVERSITAS SYIAH KUALA,11111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,48,415,Tidak Ada,0.11566265060240964,11.566265060240964
