NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
UNIVERSITAS SYIAH KUALA,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,72,350,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111002,TEKNIK SIPIL,Sarjana,84,525,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111003,TEKNIK MESIN,Sarjana,36,259,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111004,TEKNIK KIMIA,Sarjana,54,207,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111005,ARSITEKTUR,Sarjana,48,272,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111006,TEKNIK ELEKTRO,Sarjana,48,217,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111007,AGROTEKNOLOGI,Sarjana,36,181,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111008,AGRIBISNIS,Sarjana,48,309,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111009,PETERNAKAN,Sarjana,39,111,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,125,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111011,TEKNIK PERTANIAN,Sarjana,48,187,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111012,PENDIDIKAN BIOLOGI,Sarjana,36,227,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111013,PENDIDIKAN MATEMATIKA,Sarjana,36,279,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111014,PENDIDIKAN FISIKA,Sarjana,36,103,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111015,PENDIDIKAN KIMIA,Sarjana,36,103,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111016,PENDIDIKAN DOKTER,Sarjana,75,1182,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111017,ILMU KEPERAWATAN,Sarjana,108,1279,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,30,685,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111019,MATEMATIKA,Sarjana,24,90,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111020,FISIKA,Sarjana,24,38,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111021,KIMIA,Sarjana,24,80,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111022,BIOLOGI,Sarjana,36,126,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111023,ILMU KELAUTAN,Sarjana,48,123,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111024,BUDIDAYA PERAIRAN,Sarjana,48,68,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111025,TEKNIK INDUSTRI,Sarjana,36,395,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111026,INFORMATIKA,Sarjana,36,992,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111027,FARMASI,Sarjana,24,1441,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111028,TEKNIK GEOFISIKA,Sarjana,24,83,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111029,TEKNIK PERTAMBANGAN,Sarjana,36,605,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111030,STATISTIKA,Sarjana,36,253,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,36,56,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111032,ILMU TANAH,Sarjana,36,64,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111033,TEKNIK GEOLOGI,Sarjana,24,126,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,12,20,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,12,10,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,18,15,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111037,PROTEKSI TANAMAN,Sarjana,24,49,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,36,250,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111039,KEHUTANAN,Sarjana,36,113,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111040,TEKNIK KOMPUTER,Sarjana,48,773,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111041,EKONOMI PEMBANGUNAN,Sarjana,48,260,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111042,MANAJEMEN,Sarjana,60,1058,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111043,AKUNTANSI,Sarjana,60,705,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111044,ILMU HUKUM,Sarjana,168,953,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,42,372,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111046,PENDIDIKAN SEJARAH,Sarjana,36,270,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111047,PENDIDIKAN EKONOMI,Sarjana,48,141,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111048,PENDIDIKAN GEOGRAFI,Sarjana,48,200,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,409,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,48,377,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,36,136,Sendratasik
UNIVERSITAS SYIAH KUALA,11111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,48,415,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,60,223,Olahraga
UNIVERSITAS SYIAH KUALA,11111054,BIMBINGAN KONSELING,Sarjana,45,789,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,69,1088,Tidak Ada
UNIVERSITAS SYIAH KUALA,11111056,PSIKOLOGI,Sarjana,24,619,Tidak Ada
